ABV_CUSTOMER_ID,SEGMENT_NAME,SEGMENT_VALUE,IREP_EMAIL_OPEN,NPP_TRANSACTION_TOUCHPOINTS,ISA_CALL_COUNT
88878,ONCOLOGY CLL DECILE GROUP,High,10,17,18
96916,ONCOLOGY CLL DECILE GROUP,High,12,215,21
98409,ONCOLOGY CLL DECILE GROUP,High,0,348,9
98412,ONCOLOGY CLL DECILE GROUP,High,0,176,0
90981,ONCOLOGY CLL DECILE GROUP,High,5,21,12
98596,ONCOLOGY CLL DECILE GROUP,High,33,238,16
98912,ONCOLOGY CLL DECILE GROUP,High,4,13,1
99425,ONCOLOGY CLL DECILE GROUP,High,0,101,5
99759,ONCOLOGY CLL DECILE GROUP,High,2,19,4
101141,ONCOLOGY CLL DECILE GROUP,High,4,102,1
103330,ONCOLOGY CLL DECILE GROUP,High,11,1322,4
92160,ONCOLOGY CLL DECILE GROUP,High,0,242,5
106915,ONCOLOGY CLL DECILE GROUP,High,16,69,8
107435,ONCOLOGY CLL DECILE GROUP,High,8,0,8
107938,ONCOLOGY CLL DECILE GROUP,High,4,177,2
93800,ONCOLOGY CLL DECILE GROUP,High,4,14,6
108186,ONCOLOGY CLL DECILE GROUP,High,0,81,3
109171,ONCOLOGY CLL DECILE GROUP,High,5,59,12
94226,ONCOLOGY CLL DECILE GROUP,High,0,0,3
110900,ONCOLOGY CLL DECILE GROUP,High,19,87,10
95081,ONCOLOGY CLL DECILE GROUP,High,1,510,3
111808,ONCOLOGY CLL DECILE GROUP,High,6,175,16
95187,ONCOLOGY CLL DECILE GROUP,High,6,55,4
112647,ONCOLOGY CLL DECILE GROUP,High,0,11,5
96095,ONCOLOGY CLL DECILE GROUP,High,8,143,15
96135,ONCOLOGY CLL DECILE GROUP,High,3,0,13
113768,ONCOLOGY CLL DECILE GROUP,High,9,245,0
96285,ONCOLOGY CLL DECILE GROUP,High,0,188,15
96568,ONCOLOGY CLL DECILE GROUP,High,14,49,2
96635,ONCOLOGY CLL DECILE GROUP,High,0,0,19
124633,ONCOLOGY CLL DECILE GROUP,High,4,0,0
116875,ONCOLOGY CLL DECILE GROUP,High,9,791,10
119583,ONCOLOGY CLL DECILE GROUP,High,15,0,12
124841,ONCOLOGY CLL DECILE GROUP,High,0,208,0
120671,ONCOLOGY CLL DECILE GROUP,High,7,160,0
125004,ONCOLOGY CLL DECILE GROUP,High,4,107,16
120976,ONCOLOGY CLL DECILE GROUP,High,31,23,9
121193,ONCOLOGY CLL DECILE GROUP,High,0,210,15
126979,ONCOLOGY CLL DECILE GROUP,High,21,163,4
122151,ONCOLOGY CLL DECILE GROUP,High,4,11,7
132630,ONCOLOGY CLL DECILE GROUP,High,2,167,0
132765,ONCOLOGY CLL DECILE GROUP,High,51,210,63
128206,ONCOLOGY CLL DECILE GROUP,High,2,254,2
132995,ONCOLOGY CLL DECILE GROUP,High,7,77,2
133604,ONCOLOGY CLL DECILE GROUP,High,0,55,4
128674,ONCOLOGY CLL DECILE GROUP,High,0,427,2
134186,ONCOLOGY CLL DECILE GROUP,High,7,192,1
135342,ONCOLOGY CLL DECILE GROUP,High,4,8,9
135524,ONCOLOGY CLL DECILE GROUP,High,0,7,0
135692,ONCOLOGY CLL DECILE GROUP,High,0,395,3
130683,ONCOLOGY CLL DECILE GROUP,High,0,679,6
130739,ONCOLOGY CLL DECILE GROUP,High,1,339,3
130770,ONCOLOGY CLL DECILE GROUP,High,1,0,9
136816,ONCOLOGY CLL DECILE GROUP,High,45,238,6
137178,ONCOLOGY CLL DECILE GROUP,High,3,100,4
137518,ONCOLOGY CLL DECILE GROUP,High,0,724,10
137990,ONCOLOGY CLL DECILE GROUP,High,0,235,10
138072,ONCOLOGY CLL DECILE GROUP,High,0,0,0
138331,ONCOLOGY CLL DECILE GROUP,High,9,221,10
131817,ONCOLOGY CLL DECILE GROUP,High,5,122,2
138876,ONCOLOGY CLL DECILE GROUP,High,8,216,2
139936,ONCOLOGY CLL DECILE GROUP,High,0,0,3
132185,ONCOLOGY CLL DECILE GROUP,High,16,135,12
140593,ONCOLOGY CLL DECILE GROUP,High,2,333,3
140832,ONCOLOGY CLL DECILE GROUP,High,1,164,4
142293,ONCOLOGY CLL DECILE GROUP,High,38,0,21
132425,ONCOLOGY CLL DECILE GROUP,High,9,155,8
142713,ONCOLOGY CLL DECILE GROUP,High,26,205,9
132464,ONCOLOGY CLL DECILE GROUP,High,0,164,1
142866,ONCOLOGY CLL DECILE GROUP,High,21,101,10
143376,ONCOLOGY CLL DECILE GROUP,High,0,11,5
146263,ONCOLOGY CLL DECILE GROUP,High,62,578,46
